Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
7680,8192,1,974.48,974.039,976.426,14.5265,8.13752,8.1262
7680,8192,2,975.262,975.562,978.008,15.6994,9.46535,9.58222
7680,8192,3,974.93,978.898,975.367,15.753,9.64355,9.74854
7680,8192,5,990.184,980.152,990.559,16.3538,9.97538,10.0414
7680,8192,10,994.875,999.789,1004.7,17.2816,11.2909,11.2086
7680,8192,12,1004.73,1000.24,1010,18.0097,11.7207,11.7087
7680,8192,20,1021.24,1026.16,1018.82,18.8801,13.1901,12.8668
7680,8192,30,1120.38,1120.05,1018.81,20.6727,14.8258,14.2345
7680,8192,50,1287.11,1292.84,1030.33,23.6946,18.1566,16.6235
7680,8192,80,1530.34,1533.32,1015.98,28.7527,22.0323,19.9973
7680,8192,100,1710.67,1715.86,1032.83,30.868,25.2307,21.8781
7680,8192,200,2450.98,2541.34,1037.99,40.2697,36.6711,31.5752
