Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.63,1335.54,1336.3,14.6857,8.19958,8.19283
10752,8192,2,1334.25,1332.87,1334.07,15.7464,9.4367,9.63502
10752,8192,3,1346.88,1350.75,1345.29,15.7599,9.55128,9.68739
10752,8192,5,1343.51,1356.6,1341.84,16.1416,9.91839,9.93541
10752,8192,10,1359.29,1357.48,1349.46,16.9805,10.7314,10.8652
10752,8192,12,1368.64,1372.99,1370.04,17.2038,11.2867,11.1135
10752,8192,20,1380.44,1376.54,1373.97,18.0106,12.1716,11.6956
10752,8192,30,1412.64,1423.14,1387.8,19.133,13.3591,12.7645
10752,8192,50,1576.64,1582.17,1394.77,21.9228,16.0307,14.3646
10752,8192,80,1857.5,1844.3,1385.29,25.0148,19.4279,16.8511
10752,8192,100,2019.4,2010.14,1384.24,26.8401,21.2193,18.1421
10752,8192,200,2805.89,2802.23,1410.28,35.0044,30.8002,25.4912
