Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6018.42,6018.16,6018.7,14.9666,8.29332,8.30287
50688,8192,2,6029.23,6034.25,6034.44,16.0546,9.56742,9.60287
50688,8192,3,6044.9,6046.01,6043.14,15.9984,9.59034,9.58665
50688,8192,5,6072.82,6069.06,6073.96,16.0776,9.60875,9.65712
50688,8192,10,6079.45,6068.76,6078.24,16.2308,10.231,9.77505
50688,8192,12,6096.02,6096.06,6095.99,16.3173,9.86661,9.8822
50688,8192,20,6055.32,6057.19,6078.31,16.4042,10.1001,10.067
50688,8192,30,6080.8,6081.89,6059.24,16.7583,10.393,10.2006
50688,8192,50,6149.41,6148.83,6106.39,17.1534,10.866,10.5301
50688,8192,80,6176.19,6209.61,6082.97,17.9814,11.7066,11.0741
50688,8192,100,6212.33,6207.28,6095.54,18.3851,12.1928,11.398
50688,8192,200,6705.41,6682.21,6107.66,20.594,14.628,12.9086
