Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
30720,8192,1,3677.18,3676.84,3677.58,14.8808,8.28473,8.28002
30720,8192,2,3693.08,3692.16,3692.65,15.8809,9.5526,9.6156
30720,8192,3,3704.84,3706.14,3701.55,15.946,9.74999,9.60794
30720,8192,5,3691.11,3689.06,3692.61,16.0046,9.7001,9.71404
30720,8192,10,3710.58,3710.47,3712.37,16.3413,10.1134,10.0748
30720,8192,12,3735.98,3741.55,3732.88,16.4454,10.1464,10.1175
30720,8192,20,3728.21,3732.52,3717.79,16.7662,10.4846,10.4019
30720,8192,30,3729.54,3733.18,3742.18,17.1719,10.9906,10.6762
30720,8192,50,3776.2,3769.67,3756.86,17.9989,11.8334,11.2791
30720,8192,80,3850.97,3848.16,3722.93,19.1086,13.0819,12.3421
30720,8192,100,3888.07,3878.49,3746.24,20.0091,14.1236,12.5782
30720,8192,200,4837.49,4804.7,3738.62,23.886,18.0362,15.2747
