Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
10752,8192,1,1335.1,1332.21,1334.18,14.6501,8.19368,8.92228
10752,8192,2,1333.07,1333.29,1334.66,15.7586,9.64758,9.59404
10752,8192,3,1348.85,1345.78,1349.4,16.1168,9.69163,9.73177
10752,8192,5,1356.06,1343.77,1352.93,16.0659,9.8873,9.89592
10752,8192,10,1362.68,1350.94,1369.38,16.9782,10.5692,10.8496
10752,8192,12,1357.6,1363,1370.69,17.1596,11.1427,11.2609
10752,8192,20,1374.8,1375.73,1381.13,18.192,12.1567,11.7633
10752,8192,30,1415.88,1415.22,1372.9,19.5175,14.6408,13.0123
10752,8192,50,1579.95,1568.08,1389.46,21.5517,15.8845,14.1764
10752,8192,80,1855.14,1838.43,1390.82,24.6966,19.2854,17.6019
10752,8192,100,2015.34,2016,1393.48,26.6114,21.6075,18.1699
10752,8192,200,2839.23,2805.07,1393.4,35.147,31.0499,25.7112
