Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
3072,8192,1,426.77,426.309,428.922,14.0936,7.86728,7.91246
3072,8192,2,433.559,434.094,435.301,15.4322,9.43803,9.55645
3072,8192,3,432.973,433.438,440.344,15.6457,9.58764,9.67976
3072,8192,5,441.781,439.516,443.613,16.2911,10.2021,10.1946
3072,8192,10,473.996,478.867,459.02,19.1058,13.098,12.948
3072,8192,12,502.598,488.727,496.91,20.0485,13.9873,14.6624
3072,8192,20,579.359,583.289,495.941,22.9356,17.484,15.9037
3072,8192,30,660.883,678.492,517.363,26.5054,20.6408,19.4113
3072,8192,50,848.18,797.379,505.742,32.2744,27.3244,24.1715
3072,8192,80,976.406,977.461,497.84,40.3837,35.8457,31.2533
3072,8192,100,1151.9,1145.6,510.324,45.8717,41.1265,36.5778
3072,8192,200,1585.72,1636.46,512.16,52.478,56.1773,49.5696
