Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,144.922,145.105,145.285,12.3018,6.85964,6.86325
768,8192,2,153.152,155.75,153.535,13.0424,8.67319,8.18144
768,8192,3,162.844,171.047,167.691,14.7623,9.79117,10.0414
768,8192,5,198.973,196.906,197.406,17.0245,11.5025,11.2559
768,8192,10,255.367,258.164,256.391,24.7942,18.8973,20.1265
768,8192,12,270.418,292.863,279.906,28.4988,24.5272,25.3225
768,8192,20,369.52,372.508,282.945,34.2412,29.2752,29.1982
768,8192,30,459.801,439.879,302.199,41.1898,41.1589,36.3919
768,8192,50,576.531,513.98,297.984,50.1274,46.7548,42.6066
768,8192,80,677.949,648.289,298.711,57.7843,56.143,48.0431
768,8192,100,783.656,742.562,299.984,58.2647,59.6948,53.658
768,8192,200,922.711,959.82,298.289,62.4375,73.9422,62.6029
