Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.157,10.087,9.995
7680,8192,2,0.002,8.111,8.033,8.04
7680,8192,3,0.001,8.095,8.132,8.299
7680,8192,5,0.002,8.094,8.011,8.015
7680,8192,10,0.002,8.308,8.038,8.018
7680,8192,12,0.002,8.158,8.091,8.101
7680,8192,20,0.002,8.439,8.316,8.241
7680,8192,30,0.002,8.6,8.521,8.327
7680,8192,50,0.002,9.185,8.845,8.618
7680,8192,80,0.003,9.701,9.615,8.979
7680,8192,100,0.003,10.431,10.26,9.164
7680,8192,200,0.006,13.591,13.872,10.68
