Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.056,3.994,3.981
3072,8192,2,0.002,3.256,3.222,3.221
3072,8192,3,0.001,3.249,3.236,3.246
3072,8192,5,0.002,3.279,3.265,3.24
3072,8192,10,0.002,3.354,3.322,3.289
3072,8192,12,0.002,3.404,3.353,3.396
3072,8192,20,0.002,3.635,3.544,3.503
3072,8192,30,0.002,3.825,3.78,3.596
3072,8192,50,0.002,4.318,4.144,3.868
3072,8192,80,0.003,4.986,4.97,4.285
3072,8192,100,0.003,5.567,5.393,4.581
3072,8192,200,0.005,8.697,8.637,6.511
