Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.127,42.405,41.225
30720,8192,2,0.002,34.406,33.509,33.526
30720,8192,3,0.002,33.851,33.481,33.473
30720,8192,5,0.002,33.803,33.614,33.367
30720,8192,10,0.003,33.916,33.566,33.623
30720,8192,12,0.002,33.846,33.485,33.609
30720,8192,20,0.002,34.23,33.892,33.89
30720,8192,30,0.002,34.303,34.02,33.927
30720,8192,50,0.003,34.782,34.416,34.211
30720,8192,80,0.004,35.891,35.257,34.651
30720,8192,100,0.004,36.206,35.782,35.036
30720,8192,200,0.007,39.651,39.167,36.433
