Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.371,14.14,14.302
10752,8192,2,0.002,11.346,11.346,11.345
10752,8192,3,0.002,11.254,11.17,11.129
10752,8192,5,0.002,11.244,11.176,11.115
10752,8192,10,0.002,11.325,11.126,11.187
10752,8192,12,0.002,11.357,11.204,11.294
10752,8192,20,0.002,11.57,11.481,11.347
10752,8192,30,0.002,11.771,11.69,11.535
10752,8192,50,0.003,12.345,12.084,11.752
10752,8192,80,0.003,12.961,12.863,12.143
10752,8192,100,0.004,13.72,13.413,12.426
10752,8192,200,0.006,16.959,16.643,13.642
