Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.323,10.052,10.05
7680,8192,2,0.002,8.103,7.998,7.998
7680,8192,3,0.002,8.114,8.026,8.12
7680,8192,5,0.002,8.092,8.059,7.937
7680,8192,10,0.002,8.083,8.017,7.934
7680,8192,12,0.002,8.175,8.071,8.069
7680,8192,20,0.002,8.335,8.237,8.199
7680,8192,30,0.002,8.566,8.51,8.428
7680,8192,50,0.002,9.035,8.936,8.609
7680,8192,80,0.003,9.728,9.769,9.099
7680,8192,100,0.003,10.368,10.343,9.254
7680,8192,200,0.006,13.726,14.185,10.467
