Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,75.282,72.577,72.318
50688,8192,2,0.002,59.785,59.076,58.916
50688,8192,3,0.002,59.13,58.476,58.438
50688,8192,5,0.002,59.007,58.418,58.494
50688,8192,10,0.002,59.034,58.627,58.442
50688,8192,12,0.002,59.018,58.522,58.508
50688,8192,20,0.003,59.287,58.968,59.114
50688,8192,30,0.003,59.668,58.992,59.031
50688,8192,50,0.003,59.997,59.544,59.324
50688,8192,80,0.004,61.007,60.493,59.707
50688,8192,100,0.004,61.533,60.852,60.71
50688,8192,200,0.007,65.063,64.684,61.948
