Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
30720,8192,1,0.002,43.036,42.237,41.369
30720,8192,2,0.002,34.211,33.729,33.737
30720,8192,3,0.002,33.998,33.665,33.697
30720,8192,5,0.002,33.965,33.535,33.649
30720,8192,10,0.002,33.977,33.72,33.699
30720,8192,12,0.002,33.992,33.63,33.58
30720,8192,20,0.002,34.267,33.913,33.726
30720,8192,30,0.002,34.569,34.137,33.894
30720,8192,50,0.003,34.918,34.422,34.183
30720,8192,80,0.003,35.67,35.875,34.727
30720,8192,100,0.004,36.363,35.968,35.17
30720,8192,200,0.007,40.012,39.137,36.568
