Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.134,1.081,1.085
768,8192,2,0.002,0.928,0.918,0.915
768,8192,3,0.002,0.942,0.918,0.92
768,8192,5,0.002,0.954,0.933,0.94
768,8192,10,0.002,1.058,1,0.99
768,8192,12,0.002,1.095,1.076,1.094
768,8192,20,0.002,1.374,1.255,1.21
768,8192,30,0.002,1.501,1.472,1.351
768,8192,50,0.002,1.908,1.778,1.623
768,8192,80,0.003,2.633,2.56,2.159
768,8192,100,0.003,3.267,3.259,2.577
768,8192,200,0.005,6.559,6.472,4.529
