Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.391,14.154,14.294
10752,8192,2,0.002,11.463,11.307,11.331
10752,8192,3,0.002,11.329,11.157,11.158
10752,8192,5,0.002,11.25,11.187,11.167
10752,8192,10,0.002,11.367,11.344,11.187
10752,8192,12,0.002,11.411,11.266,11.32
10752,8192,20,0.002,11.774,11.653,11.419
10752,8192,30,0.002,11.843,11.728,11.587
10752,8192,50,0.003,12.391,12.123,11.885
10752,8192,80,0.003,13.073,12.777,12.232
10752,8192,100,0.003,13.602,14.2,12.432
10752,8192,200,0.006,16.961,17.169,13.715
