Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.071,4.031,4.015
3072,8192,2,0.002,3.287,3.249,3.29
3072,8192,3,0.002,3.272,3.245,3.26
3072,8192,5,0.001,3.274,3.245,3.265
3072,8192,10,0.002,3.359,3.331,3.336
3072,8192,12,0.002,3.402,3.352,3.441
3072,8192,20,0.002,3.564,3.5,3.513
3072,8192,30,0.002,3.798,3.787,3.644
3072,8192,50,0.002,4.27,4.248,3.885
3072,8192,80,0.003,4.969,4.884,4.23
3072,8192,100,0.003,5.593,5.494,4.544
3072,8192,200,0.005,8.401,8.302,6.491
