Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
7680,8192,1,0.002,10.158,10.388,10.068
7680,8192,2,0.002,8.09,8.007,8.158
7680,8192,3,0.002,8.073,8,7.988
7680,8192,5,0.002,8.1,8.064,7.943
7680,8192,10,0.002,8.137,8.005,7.999
7680,8192,12,0.002,8.112,8.049,8.04
7680,8192,20,0.002,8.283,8.166,8.221
7680,8192,30,0.002,8.543,8.509,8.374
7680,8192,50,0.002,8.984,8.881,8.612
7680,8192,80,0.003,9.594,9.587,8.998
7680,8192,100,0.003,10.335,10.045,9.149
7680,8192,200,0.005,13.591,13.384,10.554
