Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
10752,8192,1,0.002,14.379,14.279,14.22
10752,8192,2,0.002,11.322,11.308,11.3
10752,8192,3,0.002,11.237,11.14,11.062
10752,8192,5,0.002,11.21,11.094,11.096
10752,8192,10,0.002,11.28,11.107,11.123
10752,8192,12,0.002,11.392,11.286,11.204
10752,8192,20,0.002,11.655,11.504,11.45
10752,8192,30,0.002,11.892,11.723,11.584
10752,8192,50,0.002,12.32,12.09,11.805
10752,8192,80,0.003,12.979,12.809,12.187
10752,8192,100,0.003,13.652,13.468,12.48
10752,8192,200,0.006,17.034,17.207,13.738
