Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
768,8192,1,0.002,1.157,1.072,1.087
768,8192,2,0.002,0.926,0.912,0.911
768,8192,3,0.002,0.931,0.928,0.926
768,8192,5,0.002,0.952,0.935,0.934
768,8192,10,0.002,1.054,0.995,1.013
768,8192,12,0.002,1.105,1.094,1.098
768,8192,20,0.002,1.319,1.254,1.202
768,8192,30,0.002,1.494,1.523,1.355
768,8192,50,0.002,1.923,1.887,1.628
768,8192,80,0.003,2.643,2.547,2.205
768,8192,100,0.003,3.261,3.114,2.631
768,8192,200,0.005,6.589,6.006,4.587
