Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
3072,8192,1,0.002,4.084,4.015,4.007
3072,8192,2,0.001,3.264,3.243,3.248
3072,8192,3,0.002,3.263,3.248,3.246
3072,8192,5,0.002,3.376,3.31,3.32
3072,8192,10,0.002,3.38,3.281,3.299
3072,8192,12,0.002,3.413,3.356,3.435
3072,8192,20,0.002,3.629,3.525,3.511
3072,8192,30,0.002,3.811,3.756,3.601
3072,8192,50,0.002,4.324,4.169,3.885
3072,8192,80,0.003,4.924,4.994,4.28
3072,8192,100,0.003,5.532,5.519,4.567
3072,8192,200,0.005,8.574,8.611,6.512
