Image Height (pixels),Image Width (pixels),Number of Simultaneous Processors,Initialization Time (s),Whole-Level (s),LevelByLevel (s),Taskflow (s)
50688,8192,1,0.002,74.77,72.183,71.775
50688,8192,2,0.002,59.268,58.716,59.489
50688,8192,3,0.003,59.147,58.662,58.606
50688,8192,5,0.003,58.789,58.472,58.519
50688,8192,10,0.003,59.261,58.426,58.589
50688,8192,12,0.002,59.172,58.589,58.481
50688,8192,20,0.003,59.522,59.131,58.832
50688,8192,30,0.003,59.729,59.119,58.963
50688,8192,50,0.005,60.828,59.586,59.305
50688,8192,80,0.004,61.108,60.755,59.751
50688,8192,100,0.004,61.538,61.121,59.951
50688,8192,200,0.007,65.032,65.2,61.925
