Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
768,8192,1,145.031,144.949,143.746,12.1028,6.90457,6.86244
768,8192,2,156.41,154.336,150.07,13.4959,8.25666,8.55897
768,8192,3,170.645,165.285,171.734,14.6575,9.58371,9.48452
768,8192,5,194.844,196.539,188.887,16.3466,11.5295,12.0994
768,8192,10,245.051,259.77,261.191,25.1386,19.5811,19.6111
768,8192,12,277.598,279.477,273.652,29.1305,23.1097,23.1758
768,8192,20,370.332,371.621,286.344,33.1121,30.9042,28.1144
768,8192,30,442.055,427.094,287.656,42.2526,37.6385,35.6861
768,8192,50,528.973,572.688,289.992,48.6828,45.7846,41.3678
768,8192,80,653.977,713.645,285.074,57.6985,52.0153,50.1626
768,8192,100,765.535,754.668,296.258,59.5139,59.5045,54.3668
768,8192,200,905.875,1138.1,300.957,63.7575,72.0233,64.98
