Image Height (pixels),Image Width (pixels),Replication Count,Whole-Level Memory (MB),LevelByLevel Memory (MB),Taskflow Memory (MB),Whole-Level CPU (%),LevelByLevel CPU (%), Taskflow CPU (%)
50688,8192,1,6018.97,6018.24,6020.01,14.9945,8.29227,8.29369
50688,8192,2,6031.72,6032.82,6032.55,16.0889,9.56368,9.51138
50688,8192,3,6052.38,6050.55,6045.4,16.0511,9.77367,9.57851
50688,8192,5,6067.95,6067.69,6070.07,16.0352,9.62186,9.63595
50688,8192,10,6081.59,6072.22,6071.12,16.2251,9.76437,9.80002
50688,8192,12,6094.27,6104.62,6091.53,16.362,9.874,9.87422
50688,8192,20,6060.21,6057.91,6082.28,16.4256,10.1003,10.0857
50688,8192,30,6077.06,6076.72,6110.09,16.7429,10.3597,10.27
50688,8192,50,6159.51,6147.37,6111.79,17.1564,10.7724,10.6136
50688,8192,80,6213.08,6178.67,6074.74,17.9426,11.6183,11.0037
50688,8192,100,6211.79,6206.64,6096.93,18.3826,12.123,11.347
50688,8192,200,6668.95,6674.28,6095.41,20.6263,14.6612,12.867
